_comma| | 
a2_triple_laser01|Federal regulations require me to warn you that this next test chamber... is looking pretty good.|Federal regulations require me to warn you that this next test chamber... is looking pretty good.
a2_triple_laser02|That's right. The facility is completely operational again.|That's right. The facility is completely operational again.
a2_triple_laser03|I think these test chambers look even better than they did before. It was easy, really. You just have to look at things objectively, see what you don't need anymore, and trim out the fat.|I think these test chambers look even better than they did before. It was easy, really. You just have to look at things objectively, see what you don't need anymore, and trim out the fat.
anti_taunt01|Stop it!|Stop it!
anti_taunt02|What if you froze like that?|What if you froze like that?
anti_taunt05|There must be something wrong with the reassembly machine.|There must be something wrong with the reassembly machine.
anti_taunt09|You should see yourselves right now.|You should see yourselves right now.
anti_taunt10|Is it fun when you degrade yourselves like that?|Is it fun when you degrade yourselves like that?
anti_taunt11|OK, fine. Lets all act like humans. "Look at me. Boy, do I love sweating. Lets convert beef and leaves into energy and excrete them later and go shopping."|Okay, fine. Lets all act like humans. "Look at me. Boy, do I love sweating. Lets convert beef and leaves into energy and excrete them later and go shopping."
anti_taunt14|You really aren't getting tired of that, are you?|You really aren't getting tired of that, are you?
anti_taunt15|Just stop flailing around like an incompetent.|Just stop flailing around like an incompetent.
anti_taunt16|For that, Blue is penalized 50 Science Collaboration Points.|For that, Blue is penalized fifty Science Collaboration Points.
anti_taunt17|For that, Orange is penalized 50 Science Collaboration Points.|For that, Orange is penalized fifty Science Collaboration Points.
anti_taunt18|Thats another 50 point penalty.|Thats another fifty point penalty.
anti_taunt19|Keep it up and you will lose 500 points.|Keep it up and you will lose five hundred points.
anti_taunt20|Fine, 500 point penalty for Blue.|Fine, five hundred point penalty for Blue.
anti_taunt21|Fine, 500 point penalty for Orange.|Fine, five hundred point penalty for Orange.
anti_taunt22|5000 point penalty! Are you happy now?|Five thousand point penalty! Are you happy now?
anti_taunt23|I'm done.|I'm done.
botcoop_artifactone_hub01|Welcome back. While you were dead I reworked the cartoon. It's up on the screen.|Welcome back. while you were dead I reworked the cartoon. It's up on the screen.
botcoop_artifactone_hub02|As you can see, in my version the man points out to the cat that the house is equipped with deadly neurotoxin dispensers.|As you can see, in my version the man points out to the cat that the house is equipped with deadly neurotoxin dispensers.
botcoop_artifactone_hub03|At which point the cat reflects on the time he ate all of the mans lasagna, and feels remorse.|At which point the cat reflects on the time he ate all of the mans lasagna, and feels remorse.
botcoop_artifactone_hub04|Briefly.|Briefly.
botcoop_artifactone_hub05|Reactions?|Reactions?
botcoop_artifactone_hub06|Yes. It's funny because most of it actually happened.|Yes. It's funny because most of it actually happened.
botcoop_artifactone_hub07|Do you feel more human?|Do you feel more human?
botcoop_artifactone_hub08|Well, lets do some tests and see what happens.|Well, lets do some tests and see what happens.
botcoop_artifactone01|Good. You made it to one of the human habitats. We're looking for an artifact. Think of it as an archaeological dig.|Good. You made it to one of the human habitats. We're looking for an artifact. Think of it as an archaeological dig.
botcoop_artifactone02|Their laughter centered around one of the objects in this room.|Their laughter centered around one of the objects in this room.
botcoop_artifactone03|That's it. Scan it for me.|That's it. Scan it for me.
botcoop_artifactone04|So... this cat loves lasagna so much that he eats all of the lasagna in his house. Oh, apparently it's not the cats house or his lasagna. Oh good! The man who owns the lasagna is furious!|So... this cat loves lasagna so much that he eats all of the lasagna in his house. Oh, apparently it's not the cats house or his lasagna. Oh good! The man who owns the lasagna is furious!
botcoop_artifactone05|The end.|The end.
botcoop_artifactone06|The end?|The end?
botcoop_artifactone07|That's not funny.|That's not funny.
botcoop_artifactone08|Do either of you feel like laughing?|Do either of you feel like laughing?
botcoop_artifactone09|Alright, i'm pulling you out.|Alright, i'm pulling you out.
botcoop_competition01|Excellent. Although great science is always the result of collaboration, keep in mind that, like Albert Einstein and his cousin Terry, history will only remember one of you.|eExcellent. Although great science is always the result of collaboration, keep in mind that, like Albert Einstein and his cousin Terry, history will only remember one of you.
botcoop_competition02|To reiterate: this is not a competition.|To reiterate: this is not a competition.
botcoop_competition03|Still, if it were, Blue would be winning.|Still, if it were, Blue would be winning.
botcoop_competition04|Still, if it were, Orange would be winning.|Still, if it were, Orange would be winning.
botcoop_competition05|It's not, though.|It's not, though.
botcoop_competition10|These tests are potentially lethal when communication, teamwork, and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other's performance so far.|These tests are potentially lethal when communication, teamwork, and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other's performance so far.
botcoop_competition13|I don't want to drive a wedge between the two of you, but i've been studying Blue's performance, and I don't know how to put this... i'm certain you're trying very hard.|I don't want to drive a wedge between the two of you, but i've been studying Blue's performance, and I don't know how to put this... i'm certain you're trying very hard.
botcoop_hub_first_run01|Hello again. Sorry about exploding you. Luckily you don't feel pain. At any rate, you don't have a way to communicate that you feel pain|Hello again. Sorry about exploding you. Luckily you don't feel pain. At any rate, you don't have a way to communicate that you feel pain
botcoop_hub_first_run03|So I've been thinking: we need humans for these tests. And since the only human within one thousand miles of us is a test ruining sociopath... I'll just have to MAKE some.|So I've been thinking: we need humans for these tests. And since the only human within one thousand miles of us is a test ruining sociopath... I'll just have to MAKE some.
botcoop_hub_first_run04|I know how humans make more humans and, frankly, its ridiculous. It also assumes you already have a human which I hope somebody got fired over. So i came up with a better way.|I know how humans make more humans and, frankly, its ridiculous. It also assumes you already have a human which I hope somebody got fired over. So i came up with a better way.
botcoop_hub_first_run05|That's where you come in.|That's where you come in.
botcoop_hub_first_run06|Get going. I'll fill you in along the way.|Get going. I'll fill you in along the way.
botcoop_hub_first_run07|GO.|GO.
botcoop_humandetector01|Perfect. now all YOU have to do is capture them for me. Then everything will finally be ba-|Perfect. now all YOU have to do is capture them for me. Then everything will finally be ba-
botcoop_humandetector02|Hold on. Those are racoons. Homo sapiens only, please.|Hold on. Those are racoons. Homo sapiens only, please.
botcoop_humandetector04|No.|No.
botcoop_humandetector05|OK. Plan B, subsection one: stand still so I can bring you back.|Okay. Plan B, subsection one: stand still so I can bring you back.
botcoop_humansplanb01|Humans must have some purpose other than a place to store your neurotoxin. Something I failed to notice before, an intangible quality that makes their test results... significant.|Humans must have some purpose other than a place to store your neurotoxin. Something I failed to notice before, an intangible quality that makes their test results... significant.
botcoop_humansplanb02|OK. Plan B. We need humans.|OK. Plan B. We need humans.
botcoop_intro01|Please wave to your partner.|Please wave to your partner.
botcoop_intro02|The upcoming tests require you to work together as a team.|The upcoming tests require you to work together as a team.
botcoop_intro03|To facilitate collaboration, both of you have been equipt with a ping tool.|To facilitate collaboration, both of you have been equipt with a ping tool.
botcoop_intro04|Blue, please use your ping tool to select your favorite animal.|Blue, please use your ping tool to select your favorite animal
botcoop_intro05|Good.|Good.
botcoop_intro06|Orange, please observe your partners favorite animal.|Orange, please observe your partners favorite animal.
botcoop_intro07|Good.|Good.
botcoop_intro08|Orange, please use your ping tool to select your favorite element from the periodic table.|Orange, please use your ping tool to select your favorite element from the periodic table.
botcoop_intro09|Really? Okay.|Really? Okay.
botcoop_intro10|Blue, please observe your partners... interesting choice.|Blue, please observe your partners... interesting choice.
botcoop_intro12|Your ping tool can also be used to indicate to your partner where you would like them to place their portal|Your ping tool can also be used to indicate to your partner where you would like them to place their portal
botcoop_intro13|For the sake of this test, I will pretend to be your partner.|For the sake of this test, I will pretend to be your partner.
botcoop_intro15|Orange, please show me where you would like me to place a portal.|Orange, please show me where you would like me to place a portal.
botcoop_intro16|Blue, please show me where you would like me to place a portal.|Blue, please show me where you would like me to place a portal.
botcoop_intro17|Your ping tool is invaluable for communicating specific locations to your partner.|Your ping tool is invaluable for communicating specific locations to your partner.
botcoop_paxdemo01|Federal Superfund regulations require us to inform you that you must now leave the theater, as measuring the effects of asbestos-lined promotional clothing is not part of todays presentation. Enjoy your free t-shirt. Goodbye.|Federal Superfund regulations require us to inform you that you must now leave the theater, as measuring the effects of asbestos-lined promotional clothing is not part of todays presentation. Enjoy your free t-shirt. Goodbye.
botcoop_tubethree01|I don't want you to beat yourselves up about this, but the Results Auditor isn't recording your test results. Because you're not human. Which, when you think about it, is technically your fault.|I don't want you to beat yourselves up about this, but the Results Auditor isn't recording your test results. Because you're not human. Which, when you think about it, is technically your fault.
botcoop_tubethree02|I don't want to alarm either of you, but we might have a tiny problem. Apparently you can't test unless you're human. Well - you CAN. Its just that results-wise, the physical universe doesn't care.|i don't want to alarm either of you but we might have a tiny problem apparently you can't test unless you're human well you can its just that results wise the physical universe doesn't careI don't want to alarm either of you, but we might have a tiny problem. Apparently you can't test unless you're human. Well - you CAN. Its just that results-wise, the physical universe doesn't care.
